,model,version,corpus,checkpoint,token_acc,token_p,token_r,token_f,tag_acc,pos_acc,morph_acc,sents_p,sents_r,sents_f,dep_uas,dep_las,lemma_acc,ents_p,ents_f,speed
0,grc_ud_perseus_trf,1.0.0,proiel,hub_version,1.0,0.9981990095,0.9990986931,0.9986486486,0.0,0.8041910771,0.561138651,0.007751938,0.0009551098,0.0017006803,0.6303212474,0.4758219049,0.8912912913,,,116.3812227023
1,grc_ud_perseus_trf,1.0.0,perseus,hub_version,0.9988757864,0.9963205428,0.9947993702,0.9955593754,0.0,0.9350388524,0.9058696952,0.9076246334,0.9479326187,0.927340824,0.7633501665,0.7019796395,0.7509739717,,,126.9272339203
2,grc_ud_perseus_trf,1.0.0,joint,hub_version,0.9993134577,0.9970513532,0.9964695241,0.9967603537,0.0,0.884006311,0.7722378858,0.8299731183,0.5248618785,0.6430617027,0.7087810532,0.607405783,0.8055608289,,,118.8412433345
3,grc_ud_proiel_trf,1.0.0,proiel,hub_version,1.0,0.9981990095,0.9990986931,0.9986486486,0.9835511492,0.9823494066,0.9405137449,0.7175572519,0.7182425979,0.7178997613,0.8574432928,0.8228180862,0.9805555556,,,273.6983225707
4,grc_ud_proiel_trf,1.0.0,perseus,hub_version,0.9988757864,0.9963205428,0.9947993702,0.9955593754,0.0,0.8196987808,0.6126225197,0.1020683453,0.17381317,0.128611898,0.6930006579,0.5313899643,0.689165611,,,284.6891545159
5,grc_ud_proiel_trf,1.0.0,joint,hub_version,0.9993134577,0.9970513532,0.9964695241,0.9967603537,0.3825647468,0.8832861024,0.7404356019,0.3023824068,0.4207394815,0.3518748889,0.757324706,0.647356725,0.8025234013,,,282.1428535608
6,grc_homercy_treebanks_trf,0.0.1,proiel,best,1.0,0.9981990095,0.9990986931,0.9986486486,0.217750413,0.1575311608,0.2771853409,0.0005058169,0.0028653295,0.0008598452,0.051597882,0.0392790086,0.9220720721,,,158.4898684125
7,grc_homercy_treebanks_trf,0.0.1,proiel,hub_version,1.0,0.9981990095,0.9990986931,0.9986486486,0.217750413,0.1575311608,0.2771853409,0.0005058169,0.0028653295,0.0008598452,0.051597882,0.0392790086,0.9220720721,,,2651.1250946872
8,grc_homercy_treebanks_trf,0.0.1,proiel,last,1.0,0.9981990095,0.9990986931,0.9986486486,0.2346226061,0.0963466376,0.2778278504,0.0004826255,0.0028653295,0.0008261049,0.0519002554,0.0410079237,0.9286786787,,,156.5612070991
9,grc_homercy_treebanks_trf,0.0.1,perseus,best,0.99976153,0.9983307102,0.9987117706,0.998521204,0.0031496815,0.2192794083,0.3625083516,0.0,0.0,0.0,0.0286212738,0.0118328234,0.7542758999,,,159.0862662787
10,grc_homercy_treebanks_trf,0.0.1,perseus,hub_version,0.99976153,0.9983307102,0.9987117706,0.998521204,0.0031496815,0.2192794083,0.3625083516,0.0,0.0,0.0,0.0286212738,0.0118328234,0.7542758999,,,2794.1644637316
11,grc_homercy_treebanks_trf,0.0.1,perseus,last,0.99976153,0.9983307102,0.9987117706,0.998521204,0.0004295123,0.1532771826,0.3961917488,0.0005856515,0.0015313936,0.0008472781,0.0267502718,0.0121362292,0.7589990697,,,164.7857088248
12,grc_homercy_treebanks_trf,0.0.1,joint,best,0.9998541976,0.9982795323,0.998862078,0.9985707202,0.0870377125,0.1949319445,0.3287035686,0.0005347594,0.0021249469,0.0008544818,0.0385614989,0.0230881975,0.8190954041,,,164.0473535321
13,grc_homercy_treebanks_trf,0.0.1,joint,hub_version,0.9998541976,0.9982795323,0.998862078,0.9985707202,0.0870377125,0.1949319445,0.3287035686,0.0005347594,0.0021249469,0.0008544818,0.0385614989,0.0230881975,0.8190954041,,,2876.2325999807
14,grc_homercy_treebanks_trf,0.0.1,joint,last,0.9998541976,0.9982795323,0.998862078,0.9985707202,0.0913361931,0.1295847801,0.3533909186,0.0005102561,0.0021249469,0.0008229098,0.0360839541,0.0240858265,0.8249879669,,,170.8664861785
15,grc_homercy_treebanks_trf,0.0.1,ner,best,1.0,1.0,1.0,1.0,,,,,,,,,,0.8634317159,0.8772554003,181.3805581295
16,grc_homercy_treebanks_trf,0.0.1,ner,hub_version,1.0,1.0,1.0,1.0,,,,,,,,,,0.8634317159,0.8772554003,3075.303291228
17,grc_homercy_treebanks_trf,0.0.1,ner,last,1.0,1.0,1.0,1.0,,,,,,,,,,0.8864450128,0.8907735801,190.6342609337
